assetName,lat,long,businessCategory,riskRating,riskFactors,year
Miller-Norris,50.26729,-119.27337,Energy,0.76,"{""Extreme cold"": 0.05, ""Volcano"": 0.1, ""Earthquake"": 0.06, ""Hurricane"": 0.11, ""Tornado"": 0.12, ""Sea level rise"": 0.04, ""Extreme heat"": 0.05, ""Drought"": 0.09, ""Wildfire"": 0.14}",2070
"Landry, Molina and Green",42.8334,-80.38297,Manufacturing,0.18,"{""Tornado"": 0.02, ""Extreme heat"": 0.03, ""Sea level rise"": 0.0, ""Earthquake"": 0.04, ""Hurricane"": 0.03, ""Extreme cold"": 0.03, ""Volcano"": 0.03, ""Flooding"": 0.0}",2060
Jones Ltd,45.43341,-73.86586,Technology,0.67,"{""Drought"": 0.09, ""Volcano"": 0.11, ""Extreme cold"": 0.03, ""Extreme heat"": 0.07, ""Flooding"": 0.09, ""Sea level rise"": 0.1, ""Hurricane"": 0.11, ""Earthquake"": 0.0, ""Tornado"": 0.07}",2050
Banks-Carlson,53.51684,-113.3187,Technology,0.3,"{""Volcano"": 0.12, ""Flooding"": 0.1, ""Earthquake"": 0.08}",2040
Acevedo-Kennedy,43.86682,-79.2663,Energy,0.05,"{""Earthquake"": 0.02, ""Sea level rise"": 0.01, ""Extreme cold"": 0.02}",2060
"Taylor, Mitchell and Ward",46.23899,-63.13414,Technology,0.05,"{""Flooding"": 0.0, ""Tornado"": 0.01, ""Extreme heat"": 0.01, ""Hurricane"": 0.0, ""Sea level rise"": 0.01, ""Extreme cold"": 0.01, ""Wildfire"": 0.0, ""Drought"": 0.01}",2050
Martin-Jenkins,46.23899,-63.13414,Technology,0.56,"{""Drought"": 0.13, ""Extreme cold"": 0.12, ""Hurricane"": 0.13, ""Wildfire"": 0.02, ""Sea level rise"": 0.01, ""Flooding"": 0.15}",2070
Stanton-Joyce,42.8334,-80.38297,Retail,0.4,"{""Hurricane"": 0.39, ""Volcano"": 0.01}",2030
Grant-Coffey,45.4473,-73.75335,Manufacturing,0.68,"{""Flooding"": 0.28, ""Hurricane"": 0.09, ""Tornado"": 0.31}",2030
"Mcknight, Beasley and Stewart",50.26729,-119.27337,Manufacturing,0.27,"{""Drought"": 0.03, ""Tornado"": 0.02, ""Sea level rise"": 0.04, ""Volcano"": 0.04, ""Extreme heat"": 0.05, ""Flooding"": 0.05, ""Wildfire"": 0.04}",2030
Alvarez Inc,46.1351,-60.1831,Retail,0.73,"{""Volcano"": 0.73}",2070
Banks-Carlson,42.8334,-80.38297,Manufacturing,0.02,"{""Earthquake"": 0.02, ""Drought"": 0.0, ""Tornado"": 0.0, ""Flooding"": 0.0, ""Volcano"": 0.0, ""Hurricane"": 0.0, ""Extreme cold"": 0.0, ""Wildfire"": 0.0, ""Sea level rise"": 0.0, ""Extreme heat"": 0.0}",2060
Strickland-Daniels,43.86682,-79.2663,Manufacturing,0.55,"{""Extreme cold"": 0.04, ""Tornado"": 0.02, ""Sea level rise"": 0.12, ""Earthquake"": 0.06, ""Hurricane"": 0.07, ""Wildfire"": 0.12, ""Volcano"": 0.02, ""Extreme heat"": 0.1}",2060
"Watson, Evans and Smith",45.43341,-73.86586,Technology,0.55,"{""Wildfire"": 0.15, ""Hurricane"": 0.1, ""Earthquake"": 0.11, ""Extreme heat"": 0.03, ""Volcano"": 0.16}",2030
Martin-Jenkins,50.26729,-119.27337,Energy,0.61,"{""Flooding"": 0.04, ""Extreme cold"": 0.18, ""Extreme heat"": 0.1, ""Hurricane"": 0.09, ""Sea level rise"": 0.13, ""Earthquake"": 0.07}",2050
"Landry, Molina and Green",42.8334,-80.38297,Healthcare,0.31,"{""Drought"": 0.31}",2040
Rivera Inc,45.4473,-73.75335,Finance,0.92,"{""Sea level rise"": 0.92}",2040
"Patel, Norris and Jackson",49.88307,-119.48568,Energy,0.63,"{""Flooding"": 0.08, ""Tornado"": 0.22, ""Drought"": 0.15, ""Volcano"": 0.11, ""Extreme heat"": 0.07}",2070
Zuniga Inc,53.51684,-113.3187,Retail,0.46,"{""Wildfire"": 0.11, ""Volcano"": 0.1, ""Flooding"": 0.16, ""Earthquake"": 0.09}",2070
Robertson-Petersen,49.88307,-119.48568,Energy,0.61,"{""Earthquake"": 0.29, ""Wildfire"": 0.32}",2070
Skinner-Rojas,45.43341,-73.86586,Energy,0.9,"{""Hurricane"": 0.19, ""Wildfire"": 0.11, ""Extreme heat"": 0.05, ""Drought"": 0.21, ""Earthquake"": 0.19, ""Flooding"": 0.15, ""Volcano"": 0.0}",2050
Stanton-Joyce,46.23899,-63.13414,Energy,0.03,"{""Hurricane"": 0.03, ""Extreme cold"": 0.0}",2060
Willis-Newman,42.8334,-80.38297,Healthcare,0.58,"{""Extreme cold"": 0.04, ""Extreme heat"": 0.05, ""Volcano"": 0.1, ""Wildfire"": 0.04, ""Drought"": 0.03, ""Tornado"": 0.1, ""Flooding"": 0.08, ""Sea level rise"": 0.06, ""Earthquake"": 0.07, ""Hurricane"": 0.01}",2060
"Mcpherson, Simmons and Simpson",45.43341,-73.86586,Energy,0.54,"{""Hurricane"": 0.15, ""Sea level rise"": 0.1, ""Tornado"": 0.1, ""Flooding"": 0.0, ""Extreme cold"": 0.14, ""Drought"": 0.05}",2070
Thomas-Chavez,50.26729,-119.27337,Finance,0.13,"{""Volcano"": 0.01, ""Extreme heat"": 0.02, ""Drought"": 0.02, ""Wildfire"": 0.02, ""Sea level rise"": 0.02, ""Tornado"": 0.0, ""Earthquake"": 0.01, ""Hurricane"": 0.02, ""Flooding"": 0.01}",2060
"Mejia, Roberts and Gay",46.1351,-60.1831,Healthcare,0.28,"{""Hurricane"": 0.08, ""Drought"": 0.04, ""Extreme heat"": 0.07, ""Volcano"": 0.07, ""Extreme cold"": 0.02}",2030
Williams Group,46.1351,-60.1831,Healthcare,0.81,"{""Tornado"": 0.44, ""Drought"": 0.05, ""Extreme heat"": 0.32}",2070
Cook-Burns,45.4473,-73.75335,Retail,0.61,"{""Extreme heat"": 0.12, ""Flooding"": 0.11, ""Volcano"": 0.07, ""Extreme cold"": 0.0, ""Hurricane"": 0.09, ""Sea level rise"": 0.04, ""Earthquake"": 0.05, ""Wildfire"": 0.01, ""Tornado"": 0.12}",2070
Acevedo-Kennedy,42.8334,-80.38297,Technology,0.32,"{""Hurricane"": 0.08, ""Sea level rise"": 0.01, ""Extreme heat"": 0.06, ""Extreme cold"": 0.01, ""Earthquake"": 0.03, ""Volcano"": 0.02, ""Wildfire"": 0.03, ""Drought"": 0.06, ""Flooding"": 0.02}",2060
Banks-Carlson,46.1351,-60.1831,Retail,0.02,"{""Earthquake"": 0.01, ""Sea level rise"": 0.01, ""Drought"": 0.0}",2030
Guzman Ltd,45.44868,-73.81669,Technology,0.03,"{""Wildfire"": 0.03}",2060
"Landry, Molina and Green",46.1351,-60.1831,Technology,0.92,"{""Volcano"": 0.29, ""Drought"": 0.3, ""Tornado"": 0.33}",2070
Vega-Huffman,43.86682,-79.2663,Retail,0.61,"{""Drought"": 0.06999999999999999, ""Tornado"": 0.03, ""Wildfire"": 0.09, ""Volcano"": 0.08, ""Earthquake"": 0.09, ""Sea level rise"": 0.09, ""Extreme heat"": 0.16}",2050
Reid PLC,45.40008,-73.58248,Retail,0.93,"{""Extreme heat"": 0.16, ""Drought"": 0.09, ""Volcano"": 0.04, ""Earthquake"": 0.07, ""Hurricane"": 0.0, ""Tornado"": 0.06, ""Extreme cold"": 0.08, ""Wildfire"": 0.08, ""Flooding"": 0.22, ""Sea level rise"": 0.13}",2030
Alvarez Inc,49.88307,-119.48568,Manufacturing,0.22,"{""Earthquake"": 0.049999999999999996, ""Flooding"": 0.06, ""Extreme cold"": 0.01, ""Tornado"": 0.01, ""Wildfire"": 0.06, ""Hurricane"": 0.03}",2060
"Davis, Allen and Rivera",49.88307,-119.48568,Energy,0.5,"{""Earthquake"": 0.5}",2030
Flynn-Anderson,49.88307,-119.48568,Healthcare,0.73,"{""Sea level rise"": 0.05, ""Flooding"": 0.41, ""Extreme cold"": 0.24, ""Drought"": 0.01, ""Earthquake"": 0.02}",2070
"Fox, Daniel and Coleman",46.23899,-63.13414,Energy,0.3,"{""Flooding"": 0.02, ""Drought"": 0.02, ""Sea level rise"": 0.03, ""Hurricane"": 0.02, ""Volcano"": 0.01, ""Extreme heat"": 0.06, ""Wildfire"": 0.06, ""Extreme cold"": 0.02, ""Earthquake"": 0.06}",2070
Good-Lewis,45.4473,-73.75335,Healthcare,0.86,"{""Extreme heat"": 0.08, ""Volcano"": 0.18, ""Flooding"": 0.14, ""Extreme cold"": 0.05, ""Earthquake"": 0.14, ""Drought"": 0.16, ""Sea level rise"": 0.11}",2040
"Davis, Allen and Rivera",45.4473,-73.75335,Healthcare,0.46,"{""Extreme heat"": 0.46}",2050
Waller Ltd,46.1351,-60.1831,Manufacturing,0.49,"{""Sea level rise"": 0.05, ""Extreme cold"": 0.06, ""Tornado"": 0.03, ""Wildfire"": 0.01, ""Volcano"": 0.06, ""Drought"": 0.05, ""Flooding"": 0.03, ""Hurricane"": 0.08, ""Earthquake"": 0.04, ""Extreme heat"": 0.08}",2070
Banks-Carlson,46.23899,-63.13414,Energy,0.95,"{""Hurricane"": 0.17, ""Extreme heat"": 0.02, ""Sea level rise"": 0.16, ""Tornado"": 0.13, ""Flooding"": 0.12, ""Volcano"": 0.19, ""Extreme cold"": 0.13, ""Drought"": 0.03}",2050
Smith-Woods,46.1351,-60.1831,Healthcare,0.03,"{""Tornado"": 0.0, ""Drought"": 0.01, ""Hurricane"": 0.01, ""Extreme heat"": 0.01}",2040
"Fox, Daniel and Coleman",50.26729,-119.27337,Retail,0.65,"{""Volcano"": 0.31, ""Drought"": 0.34}",2050
"Washington, Rogers and Morrison",50.26729,-119.27337,Finance,0.08,"{""Wildfire"": 0.01, ""Extreme cold"": 0.03, ""Tornado"": 0.03, ""Flooding"": 0.01, ""Hurricane"": 0.0}",2070
Park and Sons,45.40008,-73.58248,Energy,0.34,"{""Volcano"": 0.21, ""Earthquake"": 0.02, ""Flooding"": 0.11}",2030
"Hooper, Evans and Merritt",49.88307,-119.48568,Energy,0.03,"{""Wildfire"": 0.0, ""Extreme cold"": 0.0, ""Flooding"": 0.01, ""Sea level rise"": 0.0, ""Earthquake"": 0.01, ""Drought"": 0.0, ""Extreme heat"": 0.0, ""Volcano"": 0.0, ""Tornado"": 0.01}",2040
Perez-Robertson,45.43341,-73.86586,Healthcare,0.43,"{""Volcano"": 0.05, ""Sea level rise"": 0.02, ""Flooding"": 0.12, ""Drought"": 0.06, ""Extreme cold"": 0.05, ""Extreme heat"": 0.08, ""Wildfire"": 0.02, ""Earthquake"": 0.03}",2060
"Bender, Warren and Sanchez",45.43341,-73.86586,Healthcare,0.99,"{""Extreme heat"": 0.99}",2050
Strickland-Daniels,46.1351,-60.1831,Energy,0.66,"{""Sea level rise"": 0.34, ""Volcano"": 0.09, ""Tornado"": 0.1, ""Wildfire"": 0.13}",2040
Reid-Sherman,49.88307,-119.48568,Manufacturing,0.95,"{""Sea level rise"": 0.51, ""Volcano"": 0.44}",2040
"Bender, Warren and Sanchez",45.40008,-73.58248,Technology,0.64,"{""Volcano"": 0.08, ""Wildfire"": 0.03, ""Sea level rise"": 0.09, ""Tornado"": 0.04, ""Extreme cold"": 0.06, ""Drought"": 0.1, ""Flooding"": 0.08, ""Hurricane"": 0.07, ""Earthquake"": 0.09}",2070
Vega-Huffman,43.86682,-79.2663,Finance,0.04,"{""Hurricane"": 0.0, ""Wildfire"": 0.01, ""Extreme heat"": 0.0, ""Flooding"": 0.0, ""Volcano"": 0.01, ""Sea level rise"": 0.0, ""Drought"": 0.0, ""Extreme cold"": 0.01, ""Earthquake"": 0.01}",2060
Wiley Ltd,43.86682,-79.2663,Healthcare,0.66,"{""Extreme cold"": 0.04, ""Hurricane"": 0.01, ""Tornado"": 0.06, ""Wildfire"": 0.09, ""Volcano"": 0.08, ""Flooding"": 0.12, ""Earthquake"": 0.05, ""Sea level rise"": 0.11, ""Extreme heat"": 0.1}",2070
Jimenez-Gallegos,45.40008,-73.58248,Finance,0.05,"{""Earthquake"": 0.01, ""Drought"": 0.01, ""Extreme cold"": 0.0, ""Flooding"": 0.0, ""Hurricane"": 0.01, ""Tornado"": 0.01, ""Sea level rise"": 0.01}",2030
Horne and Sons,53.51684,-113.3187,Healthcare,0.16,"{""Tornado"": 0.01, ""Flooding"": 0.08, ""Sea level rise"": 0.06, ""Hurricane"": 0.01}",2040
"Mejia, Roberts and Gay",45.44868,-73.81669,Energy,0.06,"{""Volcano"": 0.01, ""Extreme heat"": 0.01, ""Wildfire"": 0.01, ""Tornado"": 0.01, ""Earthquake"": 0.01, ""Hurricane"": 0.01, ""Sea level rise"": 0.0}",2050
"Mcknight, Beasley and Stewart",53.51684,-113.3187,Manufacturing,0.63,"{""Earthquake"": 0.37, ""Volcano"": 0.26}",2070
Guzman Ltd,46.1351,-60.1831,Energy,0,"{""Drought"": 0.0, ""Extreme cold"": 0.0, ""Sea level rise"": 0.0, ""Wildfire"": 0.0, ""Hurricane"": 0.0}",2030
Perez-Robertson,45.43341,-73.86586,Technology,0.82,"{""Hurricane"": 0.01, ""Extreme heat"": 0.24, ""Drought"": 0.23, ""Extreme cold"": 0.05, ""Flooding"": 0.29}",2040
Jones Ltd,53.51684,-113.3187,Energy,0.2,"{""Hurricane"": 0.04, ""Volcano"": 0.0, ""Tornado"": 0.02, ""Extreme cold"": 0.02, ""Earthquake"": 0.03, ""Drought"": 0.01, ""Flooding"": 0.02, ""Sea level rise"": 0.01, ""Extreme heat"": 0.05}",2040
Perez-Robertson,50.26729,-119.27337,Finance,0.82,"{""Volcano"": 0.07, ""Extreme heat"": 0.08, ""Extreme cold"": 0.04, ""Flooding"": 0.03, ""Tornado"": 0.16, ""Sea level rise"": 0.0, ""Earthquake"": 0.14, ""Hurricane"": 0.13, ""Drought"": 0.17}",2040
Gross PLC,42.8334,-80.38297,Healthcare,0.24,"{""Extreme cold"": 0.09, ""Drought"": 0.06, ""Extreme heat"": 0.01, ""Earthquake"": 0.05, ""Flooding"": 0.02, ""Wildfire"": 0.01}",2030
Foster-Flores,45.40008,-73.58248,Healthcare,0.3,"{""Wildfire"": 0.11, ""Hurricane"": 0.03, ""Volcano"": 0.02, ""Tornado"": 0.07, ""Drought"": 0.07}",2070
"Bender, Warren and Sanchez",46.1351,-60.1831,Technology,0.62,"{""Extreme cold"": 0.01, ""Drought"": 0.2, ""Hurricane"": 0.36, ""Earthquake"": 0.05}",2070
"Kelley, Barnes and Hutchinson",45.40008,-73.58248,Healthcare,0.75,"{""Flooding"": 0.11, ""Hurricane"": 0.15, ""Wildfire"": 0.19, ""Drought"": 0.15, ""Sea level rise"": 0.15}",2070
Grant-Coffey,53.51684,-113.3187,Finance,0.69,"{""Flooding"": 0.13, ""Extreme cold"": 0.56}",2060
"Kelley, Barnes and Hutchinson",43.86682,-79.2663,Healthcare,0.91,"{""Extreme cold"": 0.39, ""Hurricane"": 0.52}",2030
"Mejia, Roberts and Gay",46.1351,-60.1831,Retail,0.11,"{""Earthquake"": 0.03, ""Drought"": 0.03, ""Volcano"": 0.02, ""Wildfire"": 0.01, ""Tornado"": 0.01, ""Hurricane"": 0.0, ""Sea level rise"": 0.01}",2060
Reid PLC,46.23899,-63.13414,Retail,0.21,"{""Flooding"": 0.06, ""Volcano"": 0.05, ""Wildfire"": 0.05, ""Extreme cold"": 0.02, ""Hurricane"": 0.03}",2040
Gross PLC,45.43341,-73.86586,Finance,0.37,"{""Sea level rise"": 0.09, ""Extreme cold"": 0.04, ""Tornado"": 0.05, ""Extreme heat"": 0.0, ""Hurricane"": 0.08, ""Earthquake"": 0.08, ""Wildfire"": 0.03}",2070
"Wagner, Curry and Pearson",50.26729,-119.27337,Manufacturing,0.13,"{""Earthquake"": 0.05, ""Wildfire"": 0.04, ""Extreme heat"": 0.04}",2030
Wiley Ltd,50.26729,-119.27337,Energy,0.44,"{""Drought"": 0.13, ""Sea level rise"": 0.17, ""Tornado"": 0.14}",2070
Stewart PLC,50.26729,-119.27337,Finance,0.01,"{""Flooding"": 0.01, ""Sea level rise"": 0.0, ""Volcano"": 0.0, ""Hurricane"": 0.0}",2050
Horne and Sons,45.43341,-73.86586,Manufacturing,0.91,"{""Tornado"": 0.03, ""Wildfire"": 0.24, ""Volcano"": 0.64}",2040
Horne and Sons,45.4473,-73.75335,Retail,0.13,"{""Volcano"": 0.060000000000000005, ""Extreme cold"": 0.05, ""Hurricane"": 0.02}",2060
Banks-Carlson,49.88307,-119.48568,Finance,0.7,"{""Tornado"": 0.56, ""Drought"": 0.14}",2030
Wiley Ltd,45.43341,-73.86586,Healthcare,1,"{""Hurricane"": 0.58, ""Volcano"": 0.42}",2070
Kemp-Anderson,43.86682,-79.2663,Healthcare,0.42,"{""Sea level rise"": 0.0, ""Volcano"": 0.1, ""Flooding"": 0.06, ""Earthquake"": 0.08, ""Drought"": 0.01, ""Hurricane"": 0.07, ""Tornado"": 0.03, ""Extreme cold"": 0.07}",2050
Banks-Carlson,45.44868,-73.81669,Healthcare,0.97,"{""Hurricane"": 0.63, ""Sea level rise"": 0.27, ""Volcano"": 0.07}",2050
"Hall, Meadows and Anderson",42.8334,-80.38297,Energy,0.06,"{""Flooding"": 0.02, ""Extreme cold"": 0.02, ""Hurricane"": 0.02}",2050
Vega-Huffman,45.44868,-73.81669,Retail,0.94,"{""Flooding"": 0.56, ""Earthquake"": 0.38}",2060
Good-Lewis,45.44868,-73.81669,Technology,0.9,"{""Extreme heat"": 0.06, ""Tornado"": 0.04, ""Hurricane"": 0.02, ""Flooding"": 0.17, ""Drought"": 0.12, ""Earthquake"": 0.18, ""Sea level rise"": 0.05, ""Wildfire"": 0.1, ""Extreme cold"": 0.02, ""Volcano"": 0.14}",2070
"Harrison, Meza and Rios",45.40008,-73.58248,Healthcare,0.47,"{""Wildfire"": 0.47}",2060
Banks-Carlson,46.23899,-63.13414,Technology,0.17,"{""Volcano"": 0.0, ""Extreme cold"": 0.03, ""Flooding"": 0.06, ""Earthquake"": 0.02, ""Hurricane"": 0.06}",2050
Rivera Inc,45.4473,-73.75335,Manufacturing,0.53,"{""Volcano"": 0.24, ""Sea level rise"": 0.17, ""Flooding"": 0.12}",2070
Jones Ltd,46.23899,-63.13414,Manufacturing,0.02,"{""Extreme heat"": 0.02, ""Sea level rise"": 0.0, ""Tornado"": 0.0, ""Flooding"": 0.0, ""Wildfire"": 0.0, ""Hurricane"": 0.0, ""Extreme cold"": 0.0, ""Drought"": 0.0}",2070
Pittman PLC,45.44868,-73.81669,Energy,0.25,"{""Sea level rise"": 0.09, ""Flooding"": 0.07, ""Hurricane"": 0.07, ""Earthquake"": 0.02}",2030
Zuniga Inc,49.88307,-119.48568,Energy,0.01,"{""Hurricane"": 0.01, ""Sea level rise"": 0.0, ""Flooding"": 0.0, ""Earthquake"": 0.0, ""Extreme cold"": 0.0}",2030
Jimenez-Gallegos,45.43341,-73.86586,Retail,0.27,"{""Tornado"": 0.21, ""Wildfire"": 0.06}",2040
"Taylor, Mitchell and Ward",46.23899,-63.13414,Retail,0.48,"{""Tornado"": 0.04, ""Extreme cold"": 0.22, ""Volcano"": 0.22}",2060
Campos and Sons,46.1351,-60.1831,Finance,0.36,"{""Earthquake"": 0.02, ""Drought"": 0.04, ""Hurricane"": 0.09, ""Sea level rise"": 0.14, ""Tornado"": 0.01, ""Extreme cold"": 0.02, ""Flooding"": 0.04}",2030
"Marks, Garrett and Cummings",45.44868,-73.81669,Finance,0.62,"{""Extreme heat"": 0.07, ""Volcano"": 0.08, ""Sea level rise"": 0.04, ""Drought"": 0.11, ""Hurricane"": 0.01, ""Wildfire"": 0.1, ""Tornado"": 0.09, ""Extreme cold"": 0.02, ""Flooding"": 0.1}",2030
Reid PLC,53.51684,-113.3187,Technology,0.05,"{""Flooding"": 0.0, ""Tornado"": 0.01, ""Earthquake"": 0.01, ""Volcano"": 0.01, ""Drought"": 0.01, ""Extreme heat"": 0.0, ""Extreme cold"": 0.0, ""Wildfire"": 0.01}",2050
Norton-Spencer,45.40008,-73.58248,Finance,0.72,"{""Flooding"": 0.08, ""Earthquake"": 0.1, ""Sea level rise"": 0.07, ""Tornado"": 0.08, ""Volcano"": 0.04, ""Extreme heat"": 0.12, ""Drought"": 0.11, ""Extreme cold"": 0.12}",2070
Skinner-Rojas,45.43341,-73.86586,Energy,0.89,"{""Drought"": 0.11, ""Extreme cold"": 0.03, ""Extreme heat"": 0.13, ""Sea level rise"": 0.11, ""Earthquake"": 0.08, ""Hurricane"": 0.03, ""Flooding"": 0.15, ""Volcano"": 0.06, ""Wildfire"": 0.04, ""Tornado"": 0.15}",2030
"Harrison, Meza and Rios",42.8334,-80.38297,Manufacturing,0.08,"{""Extreme heat"": 0.08}",2070
Gross PLC,45.44868,-73.81669,Manufacturing,0.21,"{""Flooding"": 0.05, ""Hurricane"": 0.04, ""Wildfire"": 0.03, ""Volcano"": 0.05, ""Extreme heat"": 0.04}",2030
Jones Ltd,42.8334,-80.38297,Retail,0.31,"{""Extreme heat"": 0.31}",2070
Cook-Burns,43.86682,-79.2663,Finance,0.67,"{""Drought"": 0.18, ""Volcano"": 0.32, ""Sea level rise"": 0.17}",2050
Skinner-Rojas,45.43341,-73.86586,Energy,0.35,"{""Flooding"": 0.35}",2040
"Bender, Warren and Sanchez",49.88307,-119.48568,Healthcare,0.65,"{""Hurricane"": 0.060000000000000005, ""Tornado"": 0.14, ""Extreme heat"": 0.12, ""Sea level rise"": 0.03, ""Extreme cold"": 0.08, ""Earthquake"": 0.09, ""Drought"": 0.01, ""Volcano"": 0.12}",2030
Wilkerson-Miranda,45.4473,-73.75335,Manufacturing,0.67,"{""Drought"": 0.13, ""Tornado"": 0.11, ""Extreme cold"": 0.1, ""Wildfire"": 0.15, ""Extreme heat"": 0.02, ""Volcano"": 0.16}",2050
"Watson, Evans and Smith",45.43341,-73.86586,Retail,0.24,"{""Volcano"": 0.24}",2040
Ware PLC,45.43341,-73.86586,Technology,0.07,"{""Tornado"": 0.02, ""Earthquake"": 0.01, ""Hurricane"": 0.01, ""Extreme heat"": 0.01, ""Extreme cold"": 0.01, ""Sea level rise"": 0.0, ""Drought"": 0.01}",2030
Robertson-Petersen,49.88307,-119.48568,Energy,0.72,"{""Drought"": 0.11, ""Flooding"": 0.08, ""Sea level rise"": 0.15, ""Earthquake"": 0.16, ""Extreme heat"": 0.09, ""Hurricane"": 0.13}",2060
Cook-Burns,49.88307,-119.48568,Manufacturing,0.89,"{""Hurricane"": 0.89}",2060
"Higgins, Brown and Vaughn",42.8334,-80.38297,Retail,0.6,"{""Earthquake"": 0.16, ""Flooding"": 0.44}",2050
Duke Ltd,50.26729,-119.27337,Manufacturing,0.28,"{""Wildfire"": 0.04, ""Extreme heat"": 0.04, ""Drought"": 0.07, ""Tornado"": 0.07, ""Earthquake"": 0.04, ""Hurricane"": 0.02}",2060
"Mejia, Roberts and Gay",50.26729,-119.27337,Technology,0.42,"{""Wildfire"": 0.019999999999999997, ""Earthquake"": 0.06, ""Volcano"": 0.06, ""Sea level rise"": 0.07, ""Tornado"": 0.08, ""Extreme cold"": 0.05, ""Extreme heat"": 0.02, ""Hurricane"": 0.06}",2060
Foster-Flores,46.23899,-63.13414,Retail,0.4,"{""Volcano"": 0.12, ""Tornado"": 0.03, ""Earthquake"": 0.25}",2050
Smith-Woods,45.43341,-73.86586,Technology,0.24,"{""Extreme cold"": 0.07, ""Earthquake"": 0.07, ""Flooding"": 0.1}",2050
Gray-Evans,45.44868,-73.81669,Manufacturing,0.12,"{""Drought"": 0.03, ""Volcano"": 0.04, ""Hurricane"": 0.01, ""Extreme cold"": 0.01, ""Sea level rise"": 0.03}",2060
Duke Ltd,45.40008,-73.58248,Finance,0.25,"{""Drought"": 0.11, ""Tornado"": 0.14}",2030
Stanton-Joyce,45.43341,-73.86586,Energy,0.95,"{""Wildfire"": 0.21, ""Earthquake"": 0.16, ""Sea level rise"": 0.21, ""Flooding"": 0.16, ""Tornado"": 0.19, ""Extreme heat"": 0.02}",2050
Pittman PLC,46.23899,-63.13414,Finance,0.15,"{""Earthquake"": 0.01, ""Sea level rise"": 0.02, ""Extreme cold"": 0.02, ""Drought"": 0.01, ""Volcano"": 0.03, ""Tornado"": 0.03, ""Wildfire"": 0.01, ""Hurricane"": 0.0, ""Extreme heat"": 0.01, ""Flooding"": 0.01}",2070
Strickland-Daniels,53.51684,-113.3187,Energy,0.94,"{""Earthquake"": 0.31, ""Extreme heat"": 0.29, ""Hurricane"": 0.1, ""Sea level rise"": 0.24}",2060
"Rodriguez, Roberts and Fuller",53.51684,-113.3187,Healthcare,0.16,"{""Flooding"": 0.16}",2040
"Roberts, Burke and Williams",50.26729,-119.27337,Retail,0.9,"{""Extreme heat"": 0.1, ""Flooding"": 0.14, ""Tornado"": 0.15, ""Volcano"": 0.09, ""Wildfire"": 0.0, ""Sea level rise"": 0.09, ""Earthquake"": 0.04, ""Hurricane"": 0.09, ""Drought"": 0.08, ""Extreme cold"": 0.12}",2030
